what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411670340488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411670343851
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411670345020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411670348032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411670354977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411670433813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411670442928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411670479919
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411670481473
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411670482942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411670489335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411670492598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411670591471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411670597406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671022134
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411671027820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671042678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671115449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411671133934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411671141350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411671146133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411671151150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411671154524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411671156640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671184764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671236328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671301745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671306314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671310446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671332902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671348183
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411671354197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671357370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671367944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411671386727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671404777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671413921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671437015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671450438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671508833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671554462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671583946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671648404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671652392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671684621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671780317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671808698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671832427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671883705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411671895683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411671926386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672005478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672013606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411672041727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411672062983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672092112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672144245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411672171976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672227300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672526593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411672548915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672575092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411672645470
